id,title,price_billions,area_m2,district_id,legal_type,raw_facilities,vector_facilities,full_desc
pr43432712,"Duy nhất tháng 1/2025, Origami giảm 550tr- 1.75tỷ, Giỏ căn 1PN+ 2,5T, 2PN 3.2T,2PN+ 70m2 3,4T .",1.75,68.0,Q9,DANG_CAP_NHAT,"Hồ bơi, Gym, Công viên, Trường học, Bệnh viện","[1,1,1,1,1,0]","Thông tin mô tả Ưu đãi lớn, CDT Vinhomes giỏ hàng căn hộ Origami chiết khấu 550 triệu đồng đến 1,75 tỷ đồng, thanh toán giãn 180 - 480 ngày, bàn giao theo chuẩn Vinhomes. Giá cực hời, cực shock, đón đầu hạ tầng Vành Đai 3 hình thành vào 2026 LH PKD 9: 0908 494 ***. Loại căn hộ tại dự án: - 2PN2WC 59m² - 61.4m² giá 2.9 tỷ - 3.3 tỷ(Chưa VAT). - 2PN + 69m² giá 3.3 tỷ - 3.7 tỷ. - 3PN 81m², 100m² từ 4 - 6 tỷ. Giá bán trên chưa gồm VAT và PBT. - Studio dt 30m². - 1PN + 48m² giá 2.5 tỷ(Chưa VAT). Đặc biệt thanh toán giãn: 3 tháng thanh toán chỉ 5%. Thanh toán siêu giãn tới tháng 8/2026. - Loại 61 m² (có công năng 2phòng ngủ 2 nhà vệ sinh, được rất nhiều khách hàng lựa chọn). Thiết kế hiện đại, tối ưu hóa không gian sống. - Tầm view đa chiều: Hồ bơi nội khu, vườn Nhật Origami. - Giá sau ưu đãi: 2,990 tỷ - 3.5 tỷ (chưa VAT) - cam kết giá rẻ nhất thị trường. - Sẵn sàng bàn giao, nhận nhà ở hoặc cho thuê có dòng tiền ngay. - Tổng mức chiết khấu: Lên tới 25%. Chiết khấu cao nhất từ trước đến nay. - Khu căn hộ vị trí trung tâm của đại đô thị Vinhomes Grand Park, gần TTTM Vincom. Các tiện ích trong khu đô thị Vinhomes Grand Park nổi bật: - Hệ thống trường học đầy đủ từ mầm non đến liên cấp của Vinschool và các trường dân lập, tư thục khác, công lập. - Bệnh viện Vinmec. - Trung tâm thương mại Vincom. - Tòa văn phòng hỗn hợp cao 45 tầng. - Công viên VinWonder 15 công viên tiện ích trong đại công viên 36ha. - Hơn 150 sân tập thể thao ngoài trời. - Hơn 100 điểm nướng BBQ. - 11 hồ bơi ngoài trời. - Hơn 60 sân chơi trẻ em và sân vận động liên hoàn. - Hơn 1.000 máy tập gym ngoài trời toàn Khu đô thị. Ngoài ra bên em còn quản lý nhiều giỏ hàng độc quyền các suất ngoại giao tại tất cả các phân khu căn hộ: The Origami. Glory Heights. The Beverly Solari, The Beverly, The Opus One. Masteri Centre Point, Lumiere Boulevard tại Vinhomes Quận 9, Vinhomes Grand Park. - Phân khu căn hộ Beverly. Chiết khấu thanh toán 14%, tặng học bổng Vinschool, tặng xe hơi VF3. - Phân khu căn hộ Glory Heights chiết khấu thanh toán lên tới 23.5%. - Phân khu căn hộ Solari chiết khấu thanh toán 17.3%. - Phân khu Opus One chiết khấu 10% thanh toán + 1 % bảo lãnh. Rất hân hạnh được hỗ trợ và đồng hành cùng quý khách hàng(24/7). - Có kinh nghiệm, nắm chắc và kĩ các chính sách ưu đãi của ngân hàng, bảng tính dòng tiền, lãi suất... - Nắm chắc thông tin về thị trường bất động sản nói chung, biến động thị trường ở dự án nói riêng. - Văn phòng nằm trong dự án có đội ngũ sales trực 24/7 để dẫn khách hàng đi tham quan thực tế. Cảm ơn quý anh chị đã xem. Liên hệ: 0908 494 *** PKD VINHOMES"
pr45045255,Đừng bỏ lỡ! Căn Hộ Hạng Sang Masteri Cosmo Central (CT4) ngay lõi trung tâm Q2 HCM - LH 0902 999 ***,8.0,81.7,Q2,DANG_CAP_NHAT,Công viên,"[0,0,1,0,0,0]","Thông tin mô tả Chính thức nhận booking 100 triệu/suất (có hoàn lại) ~ Khách booking sớm được tặng nhiều chính sách hấp dẫn trực tiếp từ Chủ Đầu Tư Masteri Homes: Masteri Cosmo Central (CT4) Masteri Park Place (CT5) 1) Loại hình căn hộ. - Căn 1PN, 1PN+: 47m, 53m, 57m - Căn 2PN: 73m, 76m, 80m - Căn 3PN: 100m đến 120m - Căn 4PN: 120m đến 150m - Căn hộ Duplex & Penthouse. * Liên hệ ngay văn phòng Masteri Homes: 0902 999 *** Mr Sỹ để được hỗ trợ lấy căn giá tốt nhất trực tiếp từ CĐT. ------------------------------ 2) Chính sách bán hàng. * Gía bán căn hộ Masteri Cosmo Central: - 1PN, 1PN + 1, 1WC giá từ 6.5 tỷ. - 2PN, 2WC giá từ 8 tỷ. - 3PN, 2WC giá từ 12 tỷ. - 4PN, 3WC giá từ 16 tỷ. * Chính sách ưu đãi trong tháng 01/2026: - Thanh toán theo tiến độ: Ck 7%. - Thanh toán nhanh: Ck 14%. - Khách hàng mới: Ck 1%. - Khách hàng Masterise Homes: Ck 2%. * Chính sách vay ngân hàng: - Thanh toán 30% vốn tự có đến khi nhận nhà và Ngân hàng Techcombank cho vay 70%. - Hỗ trợ lãi suất 0% sau bàn giao nhà đến 6 tháng. - Tặng 2 năm phí quản lý. ------------------ * Tiêu chuẩn bàn giao căn hộ Masteri Cosmo Central: - Cửa chính vào căn hộ trang bị cửa gỗ chống cháy. - Khóa cửa căn hộ sử dụng thương hiệu Hafele (Đức): Bao gồm các chức năng như mật mã, khóa từ, vân tay, khóa cơ. - Thiết bị bếp gồm: Tủ bếp trên + dưới, bồn rửa chén, bếp điện từ, máy hút mùi, sử dụng thương hiệu Hafele (Đức). - Full thiết bị vệ sinh cao cấp và trong toillet trang bị vách ngăn kính cường lực khung Inox. - Thiết bị điện thương hiệu Schneider Electric (Pháp). - Máy lạnh Mitsubishi (Nhật Bản). * Tiện ích nội khu cao cấp chuẩn khu Resort nghỉ dưỡng 5 sao chuẩn Quốc Tế. ------------------------------ 3) Thông tin tổng quan. Vị trí: Tọa lạc trung tâm The Global City 117,4ha và MĐXD chỉ 28% còn lại là mảng xanh và tiện ích. - Chủ đầu tư: Masterise Homes. - Thiết kế kiến trúc: Foster + Partners. - Thầu XD: Coteccons - Quy mô: 1.4 ha, cao 29 tầng, 2 tầng hầm, 4 tầng Shophouse. - Số lượng: 900 căn hộ. - Thời gian bàn giao dự kiến: Quý 3/2028. ------------------ 4) Các yếu tố tiềm năng tăng giá. - Nút giao An Phú: Với tổng mức đầu tư hơn 3.400 tỷ đồng. Quy mô phần đường từ 10 - 12 làn xe, phần hầm chui 4 làn xe hai chiều, các cầu vượt mỗi nhánh 2 làn xe. - Đường Liên Phường: Vốn đầu tư 3.563 tỷ đồng. Quy mô chiều dài 4,5 km, rộng 40 m với 6 làn xe. - Metro Bến Thành - Suối Tiên: Sau khi đường Liên Phường đi qua dự án hoàn thiện vào đầu năm 2025, cư dân tại Global City sẽ dễ dàng tiếp cận nhà ga metro số 1 tại dự án Masteri Thảo Điền chỉ trong vòng 5 phút di chuyển. - Cao tốc TP. HCM Long Thành Dầu Giây: Nâng cấp mở rộng từ 6 làn xe lên tới 10 làn xe. ------------------ * Liên hệ ngay văn phòng Masteri Homes: 0902 999 *** - Mr Sỹ để được hỗ trợ phân tích bài toán đầu tư hạ tầng. Global City viral west Global city ở đâu Masteri Global city Global city Masterise Homes The Global city Masterise Homes Global City Căn hộ CT4 Căn hộ CT5"
pr45140674,"Giỏ hàng nội bộ vừa bung: 2PN+ Origami view Vườn Nhật Giá Sốc 3,568 tỷ ""Nhận Nhà Ngay"" đón Tết 2026",3.568,69.0,Q9,DANG_CAP_NHAT,"Hồ bơi, Gym, Công viên, Trường học, Bệnh viện","[1,1,1,1,1,0]","Thông tin mô tả Vinhomes chính thức mở giỏ hàng Origami với chính sách ưu đãi kỷ lục lên đến 14,5 cây vàng/căn. Tiến độ thanh toán linh hoạt từ 180 đến 480 ngày, bàn giao hoàn thiện nội thất (theo từng căn). Thời điểm vàng sở hữu căn hộ trước khi Vành Đai 3 đi vào hoạt động năm 2026. S6.03 tầng đẹp, Căn hộ 2PN + căn góc diện tích lớn 69m² view vườn Nhât, Hồ cá Koi không gian sống trong lành, phong thuỷ vượng khí Thiết kế 2PN+ tối ưu công năng, phù hợp ở thực & đầu tư cho thuê cao cấp - Giá gốc: ~6 tỷ - Chương trình chiết khấu từ Chủ Đầu Tư Vinhomes + ""Nhận nhà sang - đón sóng vàng"": trừ thẳng 1 tỷ 750 vào giá bán + Ưu đãi chương trình ""Lộc xuân an khang - Nhà sang đón tết"": trừ thêm 250 triệu + Ưu đãi gói nội thất 1% tương đương 35 triệu --Tổng các chiết khấu lên đến 2tỷ035 duy nhất cho căn 2pn+ View Vườn Nhật này. - Khách chỉ cần thanh toán 3ty568 là nhận nhà ngay - kịp đón Tết 2026 Số lượng cực giới hạn căn view Vườn Nhật gần như không còn trên thị trường thứ cấp Phù hợp khách mua ở lâu dài hoặc nhà đầu tư đón sóng Vành Đai 3 & Metro trong tương lai Hệ sinh thái tiện ích all-in-one tại Vinhomes Grand Park: - Công viên trung tâm 36ha lớn nhất TP.HCM hồ cảnh quan, bãi cỏ picnic, đường chạy bộ, BBQ ngoài trời - Vườn Nhật Bản & hồ cá Koi không gian thiền, thư giãn, phong thuỷ vượng khí - Hệ thống hồ bơi resort đa phong cách - Sân thể thao: tennis, bóng rổ, cầu lông, gym ngoài trời - Vincom Mega Mall Grand Park mua sắm, ẩm thực, giải trí ngay trong khu - Bệnh viện Vinmec chăm sóc sức khoẻ chuẩn quốc tế - Hệ thống trường học Vinschool liên cấp - Khu vui chơi trẻ em, quảng trường ánh sáng, phố đi bộ, công viên chủ đề - An ninh đa lớp 24/7 vận hành bởi Vinhomes Thông tin chi tiết & xem nhà thực tế vui lòng liên hệ: 0777 768 *** - Khánh Hậu"
pr44424353,Bán 2PN The River - View trực diện sông & Q1 đẹp nhất dự án - Đã có sổ - Giá tốt nhất trục view,18.0,94.0,Q2,SOHONG,,"[0,0,0,0,0,0]","Thông tin mô tả Chuyển nhượng The River. - Diện tích: Tim tường 94m², thông thuỷ 83.6m² - 2PN - 2WC. - View trực diện sông & Q1. - Bàn giao nội thất cơ bản CĐT. - Giá bán chỉ: 18 tỷ all in. - Đã nhận sổ hồng. ----------------------------------------- Cam kết báo đúng giá - đúng căn - giá tốt nhất thị trường. - Tư vấn nhiệt tình và hoàn toàn miễn phí. - Dịch vụ chuyên nghiệp, hỗ trợ giấy tờ pháp lí nhanh gọn. - Giỏ hàng đa dạng, đầy đủ view và diện tích. ----------------------------------------- - Liên hệ ngay em Sơn 0933 322 *** (SMS/Zalo/Viber) để được hỗ trợ tận tình và chọn được căn ưng ý."
pr43508803,Bán The River - View trực diện sông và hồ bơi - Đã có sổ - Giá chỉ 17.8tỷ all in,17.8,94.0,Q2,SOHONG,Hồ bơi,"[1,0,0,0,0,0]","Thông tin mô tả Chuyển nhượng The River Thu Thiem. - Diện tích: 94m² - 2PN - 2WC (DT sử dụng: 83.6m²). - View trực diện Sông và hồ bơi thoáng mát. - Giá bán chỉ: 17.8tỷ all in. - Đã có sổ. ----------------------------------------- Cam kết báo đúng giá - đúng căn - giá tốt nhất thị trường. - Giỏ hàng đa dạng, đầy đủ view và diện tích. - Liên hệ ngay em Sơn 0933 322 *** (SMS/Zalo/Viber) để được hỗ trợ tận tình và chọn được căn ưng ý."
pr44463660,"Chính chủ bán căn 2PN 2WC The Beverly view công viên 36ha + nội khu chỉ 4,8 tỷ all in",4.8,78.9,Q3,HDMB,Công viên,"[0,0,1,0,0,0]","Thông tin mô tả Bán nhanh căn hộ 2 phòng ngủ thuộc The Beverly (BE) - KĐT Vinhomes Grand Park, TP Hồ Chí Minh. - Loại: 2 phòng ngủ, 2 WC. - View: Sông, công viên 36ha. - Diện tích: 78,9m² tim tường, thông thuỷ 71,6m². - Nội thất: Nguyên bản CĐT, nhà mới 100% chưa sử dụng. - Pháp lý: Sẵn HĐMB, mua bán công chứng ngay. Giá bán: 4,8 tỷ all in. Liên hệ Mr Lập xem nhà thực tế 24/7. Cảm ơn!"
pr44957828,Sổ hồng bán căn 59m2 2PN 2WC thêm 17m2 sân Vườn + view mát mẻ + tầng trung thoáng LH 0902 938 ***,3.19,59.0,Q8,SOHONG,"Hồ bơi, Gym, Công viên, Trường học, Bệnh viện, Siêu thị","[1,1,1,1,1,1]","Thông tin mô tả Sổ hồng chính chủ bán căn 59m² 2PN 2WC thêm 17m² sân vườn riêng + view thoáng mát + tầng trung đẹp thoáng + hỗ trợ vay ngân hàng. LH ngay 0902 938 *** - Tân Bùi. Căn hộ 59m² 2PN 2WC sân vườn là một trong những dòng giới hạn và được săn đón nhất tại WestGate. Giữ nguyên thiết kế 59m² 2PN 2WC nhưng mở thêm 17m² Sân vườn riêng, mở rộng không gian sống thoáng đãng, phù hợp với anh chị thích ban công rộng rãi, vừa trồng cây nuôi cá, vừa thư giãn và quây quần cùng gia đình, bạn bè mỗi tối... * Diện tích tim tường: 59m²; Diện tích thông thủy: 54.2m² thêm 17m² Sân Vườn. * Thiết kế 2 phòng ngủ - 2 nhà vệ sinh - Ban công sân vườn riêng mát mẻ. * View tầm nhìn xa thoáng đãng. * Giá bán: 3,19 tỷ (giá full 102% bao thuế phí sang tên). * Nội thất từ CĐT An Gia, Giường ngủ, Tủ quần áo, tủ giày, máy lạnh, bàn làm việc, bếp hồng ngoại Hafele, tủ bếp An Cường, nội thất nhà tắm Hafele, Máy hút mùi Hafele, rèm, giàn phơi, sân phơi, ban công tích hợp tiện dụng... Lợi thế: * Sẵn sổ hồng, công chứng sang tên ngay. * Nhà mới, giữ gìn kỹ, vào ở liền. * Giá full tất tần tật bao thuế phí sang tên. * Vị trí đẹp, nội khu an ninh, dân về ở đông, tiện ích hoạt động chất lượng. Cam kết hỗ trợ: * Cam kết hỗ trợ toàn bộ thủ tục sang nhượng căn hộ. * Cam kết có sổ hồng riêng cho từng căn hộ vay được tất cả ngân hàng. * Hỗ trợ vay tối đa trên 70% giá trị căn hộ tuỳ ngân hàng. * Hỗ trợ vay lãi suất từ 5.5% tuỳ ngân hàng. * Ân hạn gốc 2 - 5 năm (chỉ cần trả lãi suất, không trả gốc tuỳ ngân hàng). Tiện ích nội khu: * Cửa hàng tiện lợi VinMart, GS25, Bách Hoá Xanh, Cafe Trung Nguyên, Nhà Thuốc, KingFoodMart... * Hồ bơi 700m², gym, yoga, sauna, khu vui chơi trẻ em, tenis, golf, nhà banh, bóng rổ, bóng chuyền, karaoke, phòng game, phòng tiệc, khu cắm trại BBQ... * Trường học cấp 1,2,3, trường ĐH Kinh Tế, ĐH Xây Dựng, ĐH Y Khoa Phạm Ngọc Thạch... * Đối diện trung tâm hành chính Bình Chánh... * Ngay UBND, toà án, bệnh viện, trung tâm y tế Bình Chánh... Liên hệ tư vấn 24/24: 0902 938 *** - Tân Bùi."
pr45134603,Chính chủ - cần bán căn góc The Pegasuite Quận 8 full nội thất,5.3,87.0,Q8,SOHONG,Siêu thị,"[0,0,0,0,0,1]","Thông tin mô tả Cần bán căn hộ góc The Pegasuite Quận 8 đầy đủ nội thất, đã có sổ. Vị trí: Dự án The Pegasuite, Quận 8, TP.HCM. Diện tích: 87m². Tầng: 24 căn góc, thoáng mát, view đẹp. Kết cấu: 2 phòng ngủ 2 toilet 2 ban công 1 lô gia. Pháp lý: Đã có sổ hồng chính chủ. Giá bán: 5,3 tỷ. Nội thất đầy đủ, dọn vào ở ngay hoặc khai thác cho thuê. - Tủ lạnh. - Bếp từ & tủ bếp hiện đại. - Sofa, smart TV. - 3 máy lạnh, 2 máy nước nóng. - Máy giặt. - 2 giường đôi, 2 tủ áo. - Bàn trang điểm."
pr45138926,"Chủ nhà đi úc cần bán nhanh căn hộ 3PN Origami - tầng thấp, view nội khu, hướng Bắc mát cả ngày",4.1,81.5,Q9,DANG_CAP_NHAT,,"[0,0,0,0,0,0]","Thông tin mô tả * Căn 3PN tại phân khu Origami này không phải căn rẻ nhất thị trường, nhưng là một trong những căn có tính sử dụng thực tế rất cao, đặc biệt phù hợp với gia đình nhiều thế hệ ở chung. * Thông tin & hiện trạng căn hộ. + Căn 3PN diện tích lớn, bố trí không gian hợp lý cho gia đình đông người. + Tầng thấp (tầng 3), di chuyển thuận tiện, rất phù hợp với gia đình có người lớn tuổi. + Căn góc, view nội khu chuẩn cho tầng thấp, rất thông thoáng. + View lô gia đối diện tòa S7, khoảng cách hợp lý, không áp sát. + Nhà mát cả ngày, không chính Đông hay Tây nên tránh nắng gắt trực diện nhưng vẫn có ánh sáng tự nhiên hắt xéo. * Ưu điểm lớn về trải nghiệm ở thực. + Tầng thấp giúp sinh hoạt dễ dàng, hạn chế phụ thuộc thang máy. + Không gian yên tĩnh, an toàn cho trẻ nhỏ và người lớn tuổi. + Căn góc + thoáng giúp lưu thông gió tốt, ở lâu dài rất dễ chịu. + Hiện trạng còn rất mới, do chỉ mới đưa vào khai thác cho thuê thời gian ngắn. * Chi phí vận hành, lợi thế rõ rệt so với các phân khu khác. + Phân khu Origami hiện vẫn được trợ giá phí quản lý: 8.800 VNĐ/m² (đã gồm VAT). + Thời gian áp dụng còn hơn 2 năm nữa (tổng 5 năm kể từ ngày bàn giao). Với căn diện tích lớn như 3PN, mức phí này giúp tiết kiệm chi phí hàng tháng đáng kể so với Rainbow. * Về giá & lý do bán. + Chủ nhà đang có kế hoạch bán nhanh trước Tết để đi định cư Úc. + Có cắt lỗ so với giá mua ban đầu, nhưng do chủ sở hữu nhiều tài sản nên giá vẫn ở mức kỳ vọng. + Phù hợp với khách mua ở thực lâu dài, ưu tiên chất lượng sống hơn là săn đáy. Nếu anh chị Quý khách hàng đang tìm một căn 3PN để ở cho gia đình nhiều thế hệ, cần không gian thoáng, nhà mát, tầng thấp dễ sinh hoạt và chi phí vận hành hợp lý thì căn Origami này rất đáng để xem thực tế. Liên hệ Thanh để nhận thông tin chi tiết, giá cụ thể và sắp xếp xem nhà trực tiếp. Thanh Bùi (1986) | LPL 0938 294 ***."
pr44193699,"Bán căn hộ 3PN + 2WC tại Vinhomes Grand Park, View công viên pháo hoa như hình",9.0,99.0,Q4,SOHONG,"Công viên, Trường học, Siêu thị","[0,0,1,1,0,1]","Thông tin mô tả Căn hộ chung cư tại Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh, với diện tích tim tường 99m², DT thông thủy 87.2m². Thiết kế hiện đại gồm 3 phòng ngủ và 2 phòng tắm, hướng cửa chính và ban công đều Đông Nam, tạo không gian thoáng đãng và ánh sáng tự nhiên. Ưu điểm: + 3PN + 2WC + bếp. + Pháp lý: Đã có sổ hồng. Tiện ích xung quanh: + Cách Vincom 100m. + Cách Vinschool 500m. + Cửa hàng Winmart. + Công viên Khu Công Nghệ Cao Quận 9. + Công viên Hoa Hồng Ngọc. + Trường HUTECH - Đại Học Công Nghệ TP. HCM (Hitech Park Campus). Liên hệ để biết thêm thông tin chi tiết: 0888 927 ***, Nguyễn Nhân. Xem nhà 24/07."
